age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,poutcome,cons_price_idx,y
29,admin.,single,university.degree,no,no,no,cellular,oct,mon,87,2,failure,92.431,0
47,technician,married,professional.course,no,unknown,unknown,telephone,may,mon,89,1,nonexistent,93.994,0
26,admin.,single,high.school,no,no,no,telephone,may,wed,160,1,nonexistent,93.994,0
41,admin.,divorced,high.school,no,no,no,cellular,apr,fri,620,1,nonexistent,93.075,0
35,technician,single,university.degree,no,yes,yes,cellular,aug,thu,205,1,nonexistent,93.444,0
42,entrepreneur,married,basic.6y,no,no,no,telephone,may,tue,179,2,nonexistent,93.994,0
36,technician,single,professional.course,no,no,no,cellular,aug,mon,209,1,nonexistent,93.444,0
39,housemaid,married,basic.4y,no,no,no,cellular,jul,wed,102,1,nonexistent,93.918,0
49,technician,married,university.degree,no,no,no,cellular,may,thu,188,1,failure,93.876,0
38,blue-collar,married,basic.6y,unknown,unknown,unknown,telephone,may,thu,,1,nonexistent,93.994,0
37,blue-collar,divorced,basic.9y,unknown,yes,no,cellular,apr,thu,435,2,failure,93.075,0
,management,married,university.degree,no,yes,yes,cellular,mar,thu,94,1,nonexistent,92.843,0
35,management,single,university.degree,no,no,no,cellular,may,fri,296,2,nonexistent,92.893,0
47,admin.,married,university.degree,no,yes,no,cellular,aug,tue,653,5,nonexistent,93.444,0
33,blue-collar,married,basic.9y,no,no,yes,telephone,jun,tue,16,3,nonexistent,94.465,0
56,management,divorced,high.school,no,no,no,telephone,may,tue,218,1,nonexistent,93.994,0
31,blue-collar,married,basic.9y,no,yes,yes,telephone,may,wed,248,1,nonexistent,93.994,0
50,management,married,university.degree,no,no,no,cellular,aug,fri,299,2,nonexistent,93.444,0
46,admin.,divorced,university.degree,no,yes,no,telephone,jun,wed,165,2,nonexistent,94.465,0
38,technician,married,basic.4y,no,no,yes,cellular,apr,fri,244,,nonexistent,93.075,0
23,blue-collar,single,basic.9y,no,no,no,cellular,jul,thu,250,4,failure,94.215,1
56,retired,married,professional.course,no,yes,no,cellular,aug,mon,202,5,nonexistent,93.444,0
43,management,married,university.degree,unknown,yes,no,telephone,apr,fri,141,4,nonexistent,93.075,0
26,blue-collar,single,high.school,no,no,yes,telephone,jul,mon,251,2,nonexistent,93.918,0
37,housemaid,single,professional.course,no,yes,no,cellular,jul,wed,60,8,nonexistent,93.918,0
27,technician,single,professional.course,no,no,no,cellular,apr,wed,72,1,nonexistent,93.075,0
39,services,single,high.school,no,yes,no,telephone,jun,thu,1178,3,nonexistent,94.465,0
32,technician,single,university.degree,no,yes,no,cellular,aug,thu,271,2,nonexistent,93.444,0
43,blue-collar,married,basic.9y,no,yes,no,cellular,may,mon,247,6,nonexistent,92.893,0
33,admin.,single,university.degree,no,yes,no,cellular,aug,thu,289,1,nonexistent,93.444,0
39,blue-collar,married,professional.course,no,yes,no,cellular,may,wed,72,1,nonexistent,92.893,0
51,management,married,university.degree,no,yes,no,cellular,aug,tue,249,1,nonexistent,92.201,1
47,housemaid,married,basic.9y,no,no,no,cellular,aug,thu,135,1,nonexistent,93.444,0
51,blue-collar,married,basic.9y,no,yes,no,telephone,,mon,159,1,nonexistent,94.465,0
36,management,married,unknown,unknown,yes,no,cellular,jul,thu,171,1,nonexistent,93.918,0
29,blue-collar,married,basic.6y,no,no,no,cellular,may,thu,481,2,nonexistent,92.893,1
61,unknown,single,basic.4y,no,yes,no,cellular,may,tue,154,1,nonexistent,92.893,0
36,admin.,divorced,high.school,no,no,no,cellular,apr,tue,197,1,nonexistent,93.075,0
30,blue-collar,married,,no,yes,no,cellular,aug,fri,252,1,nonexistent,92.201,1
